,,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Plastic Bags,Wrappers,Sports Balls,Homes Powered*,,
1,May ,2014,5/16/2014,4.31,18,"1,450","1,820","126,000",72,584,"1,162",7,0,,
2,May ,2014,5/16/2014,2.74,13,"1,120","1,030","91,000",42,496,874,5,0,,
3,May,2014,5/16/2014,3.45,15,"2,450","3,100","105,000",50,"1,080","2,032",6,0,,
4,May,2014,5/17/2014,3.10,15,"2,380","2,730","100,000",52,896,"1,971",6,0,,
5,May,2014,5/17/2014,4.06,18,980,870,"120,000",72,368,753,7,0,,
6,May,2014,5/20/2014,2.71,13,"1,430","2,140","90,000",46,672,"1,144",5,0,,
7,May,2014,5/21/2014,1.91,8,910,"1,090","56,000",32,416,692,3,0,,
8,May,2014,5/28/2014,3.70,16,"3,580","4,310","112,000",58,"1,552","3,015",6,0,,
9,June,2014,6/5/2014,2.52,14,"2,400","2,790","98,000",49,984,"1,988",6,0,,
10,June,2014,6/11/2014,3.76,18,"1,340","1,730","130,000",75,448,"1,066",7,0,,
11,June,2014,6/11/2014,3.43,15,740,869,"110,000",38,344,544,6,0,,
12,June,2014,6/12/2014,4.17,19,950,"1,140","133,000",45,520,727,8,0,,
13,June,2014,6/13/2014,5.13,15,530,630,"104,000",58,224,361,6,0,,
14,June,2014,6/13/2014,4.17,15,840,760,"100,000",62,344,631,6,0,,
15,June,2014,6/19/2014,3.28,15,"1,130","1,350","102,000",64,432,883,6,0,,
16,June,2014,6/19/2014,3.05,15,"1,640","2,130","106,000",56,752,"1,327",6,0,,
17,June,2014,6/28/2014,2.49,13,"1,350","1,620","89,000",47,696,"1,075",5,0,,
18,July,2014,7/3/2014,2.54,15,"1,640","1,960","108,000",65,744,"1,327",6,0,,
19,July,2014,7/7/2014,2.41,15,"1,730","2,100","107,000",63,896,"1,405",6,0,,
20,July,2014,7/11/2014,3.83,18,"5,960","6,540","132,000",79,"2,560","5,085",7,0,, 
21,July,2014,7/14/2014,2.73,15,"2,170","2,620","112,000",32,"1,144","1,788",6,0,,
22,July,2014,7/15/2014,4.40,16,"1,930","2,210","115,000",53,688,"1,579",6,0,,
23,July,2014,7/15/2014,2.79,14,"3,200","3,840","98,000",25,"1,464","2,684",6,0,,
24,July,2014,7/25/2014,2.50,13,"2,500","3,040","85,000",18,"1,248","2,075",5,0,,
25,August,2014,8/4/2014,4.39,16,"2,140","2,050","118,000",68,904,"1,762",6,0,,
26,August,2014,8/4/2014,5.33,17,"1,630","1,950","123,000",75,512,"1,318",7,0,,
27,August,2014,8/13/2014,3.58,20,"3,640","4,360","141,000",82,"1,560","3,067",8,0,,
28,August,2014,8/13/2014,3.10,17,"1,430","1,870","121,000",63,552,"1,144",7,0,,
29,August,2014,8/19/2014,1.77,10,570,780,"32,000",21,310,"1,440",4,0,,
30,September,2014,9/3/2014,3.76,18,"4,800","3,640","310,000",110,"1,880","2,200",7,0,,
31,September,2014,9/24/2014,1.24,8,550,860,"18,000",11,420,"1,040",3,0,,
32,September,2014,9/26/2014,3.14,15,"2,240","2,880","112,000",42,"1,200","1,860",6,0,,
33,October,2014,10/3/2014,2.71,16,"4,220","4,840","84,000",38,"1,400","2,140",6,0,,
34,October,2014,10/9/2014,2.11,14,"1,400","1,650","80,000",18,"1,450","2,030",6,0,,
35,October,2014,10/20/2014,4.09,18,"2,820","3,010","78,000",7,990,"1,450",7,0,,
36,October,2014,10/20/2014,2.31,14,"1,900","2,240","81,000",22,840,"1,260",6,0,,
37,October,2014,10/24/2014,3.50,15,"3,650","3,880","94,000",51,"1,210","1,840",6,0,,
38,November,2014,11/06/14,2.70,15,760,"1,680","22,000",18,960,"1,720",6,0,,
39,November,2014,11/17/14,3.25,18,"1,250","2,730","46,000",28,"1,130","2,340",7,0,,
40,November,2014,11/20/14,3.84,15,880,"1,840","35,000",14,730,"1,760",6,0,,
41,November,2014,11/28/14,2.88,15,"1,800","3,970","52,000",32,560,"1,850",6,0,,
42,December,2014,12/1/2014,1.81,17,"1,370","3,140","38,000",28,950,"1,620",7,0,,
43,December,2014,12/17/2014,3.48,15,550,"1,450","22,000",34,740,"1,280",6,0,,
44,December,2014,12/30/2014,3.18,15,640,"1,670","26,000",42,880,"1,540",6,0,,
45,January,2015,1/12/2015,2.87,17,"1,160","2,250","31,000",60,"1,120","2,450",7,0,,
46,January,2015,1/23/2015,2.00,14,"1,570","2,400","33,000",37,380,910,6,0,,
47,January,2015,1/26/2015,2.14,13,"1,340","2,650","28,000",46,430,"1,170",5,0,,
48,February,2015,2/4/2015,2.54,15,"1,740","2,250","22,000",38,320,980,3,42,,
49,March,2015,3/9/2015,3.82,18,"2,870","3,240","25,000",26,540,860,8,64,,
50,March,2015,3/13/2015,1.83,15,"3,120","5,430","32,000",54,650,"1,120",16,31,,
51,March,2015,3/27/2015,2.02,15,"2,780","4,980","26,000",47,470,960,14,34,,
52,April,2015,4/8/2015,2.50,18,"2,240","2,360","27,000",46,270,840,13,42,,
53,April,2015,4/10/2015,3.41,15,"2,550","3,420","32,000",32,320,"1,260",16,57,,
54,April,2015,4/19/2015,1.83,11,"1,470","1,840","18,000",22,240,680,8,31,,
55,April,2015,4/20/2015,3.84,18,"1,240","1,630","23,000",18,430,760,5,64,,
56,April,2015,4/20/2015,3.22,15,"1,150","1,420","19,000",16,370,590,8,54,,
57,April,2015,4/20/2015,3.03,15,"2,850","3,160","18,000",15,350,610,11,0,,
58,April,2015,4/20/2015,2.64,18,960,"1,280","22,000",22,450,820,7,0,,
59,April,2015,4/20/2015,3.54,15,870,"1,140","18,000",17,330,620,6,59,,
60,May ,2015,5/15/2015,1.95,9,"1,340","2,150","22,000",16,190,530,8,33,,
61,May ,2015,5/17/2015,4.25,18,"2,630","3,480","38,000",36,"1,240","1,760",22,71,,
62,May,2015,5/17/2015,5.62,15,"1,850","3,270","54,000",44,970,"1,320",28,94,,
63,May,2015,5/18/2015,3.81,15,"2,830","3,780","48,000",28,650,"1,130",19,64,,
64,May,2015,5/19/2015,3.45,18,"1,740","2,630","32,000",16,820,"1,250",32,58,,
65,May,2015,5/19/2015,3.34,15,"2,780","3,250","37,000",32,"1,140","1,960",24,56,,
66,June,2015,6/1/2015,2.54,15,"1,260","1,830","56,000",56,"1,230","2,140",26,42,,
67,June,2015,6/9/2015,4.66,18,"2,340","3,460","48,000",42,"1,620","1,840",36,78,,
68,June,2015,6/9/2015,3.39,15,"3,240","4,360","33,000",23,"1,430","1,760",24,57,,
69,June,2015,6/9/2015,3.17,15,940,"1,220","35,000",18,840,960,9,53,,
70,June,2015,6/9/2015,3.15,18,830,"1,150","37,000",26,920,"1,050",16,53,,
71,June,2015,6/9/2015,3.83,15,960,"1,190","33,000",22,730,940,22,0,,
72,June,2015,6/10/2015,4.78,15,870,"1,040","32,000",24,820,960,17,80,,
73,June,2015,6/10/2015,3.85,18,920,"1,290","34,000",26,930,"1,020",13,0,,
74,June,2015,6/10/2015,4.48,15,"1,130","1,370","38,000",29,"1,270","1,450",14,0,,
75,June,2015,6/10/2015,4.18,15,"1,060","1,250","37,000",27,"1,340","1,420",21,0,,
76,June,2015,6/10/2015,3.38,18,740,930,"34,000",19,"1,130","1,340",15,0,,
77,June,2015,6/10/2015,3.83,15,950,"1,220","35,000",21,"1,370","1,430",13,0,,
78,June,2015,6/12/2015,3.95,15,"2,340","3,250","65,000",45,"2,730","3,340",18,0,,
79,June,2015,6/15/2015,2.44,18,"2,660","3,420","72,000",37,"2,430","3,170",16,41,,
80,June,2015,6/18/2015,2.85,15,"2,430","3,120","68,000",35,"2,370","2,820",22,48,,
81,June,2015,6/24/2015,3.43,15,"2,690","3,370","82,000",29,"1,910","2,180",32,57,,
82,June,2015,6/24/2015,4.28,18,"1,540","1,780","45,000",24,"1,830","1,990",18,71,,
83,June,2015,6/24/2015,3.94,15,"1,240","1,450","37,000",31,"1,650","1,780",21,66,,
84,June,2015,6/28/2015,3.38,15,"2,870","3,560","68,000",36,"2,140","2,450",34,56,,
85,June,2015,6/28/2015,3.45,18,"2,450","3,240","74,000",41,"2,320","2,750",19,58,,
86,June,2015,6/29/2015,3.93,15,"1,830","2,240","36,000",28,"1,630","2,450",14,66,,
87,July,2015,7/7/2015,4.07,15,"2,360","3,120","82,000",32,"1,840","2,950",22,68,,
88,July,2015,7/8/2015,3.03,18,"2,640","3,520","68,000",28,"1,460","2,630",16,51,,
89,July,2015,7/14/2015,3.52,15,"2,840","3,360","65,000",41,"1,690","2,580",25,59,,
90,July,2015,7/14/2015,3.51,15,"2,640","3,120","76,000",38,"2,130","2,760",27,59,,
91,July,2015,7/27/2015,3.68,18,"3,070","4,250","82,000",26,"1,770","2,540",18,61,,
92,July,2015,7/29/2015,3.40,15,"2,820","3,740","75,000",31,"2,400","2,940",20,57,,
93,August,2015,8/4/2015,3.72,15,"2,640","3,250","68,000",26,"1,860","2,730",17,62,,
94,August,2015,8/18/2015,1.84,9,870,980,"34,000",13,750,930,56,31,,
95,August,2015,8/21/2015,3.00,15,"3,220","3,460","67,000",36,"2,170","2,450",32,50,,
96,August,2015,8/25/2015,4.33,18,"1,980","2,190","48,000",21,"1,600","1,840",22,72,,
97,August,2015,8/25/2015,4.30,15,410,540,"3,000",16,250,330,6,0,,
98,August,2015,8/26/2015,3.39,15,640,780,"32,000",18,350,560,3,0,,
99,September,2015,9/11/2015,4.08,18,"2,730","3,140","54,000",45,"2,430","2,680",17,0,,
100,September,2015,9/11/2015,3.62,15,"1,360","1,570","26,000",25,"1,420","1,570",13,0,,
101,September,2015,9/22/2015,2.40,7,760,"1,030","24,000",16,780,"1,340",12,0,,
102,September,2015,9/30/2015,4.24,18,"1,240","1,460","46,000",43,860,920,7,0,,
103,September,2015,9/30/2015,3.31,15,800,920,"32,000",26,270,450,8,55,,
104,October,2015,10/12/2015,2.90,15,"2,540","2,780","42,000",54,"2,230","3,140",16,0,,
105,October,2015,10/27/2015,2.46,18,"2,130","2,560","34,000",43,"1,970","2,430",23,41,,
106,October,2015,10/31/2015,2.89,15,"2,670","2,820","36,000",35,"2,450","2,830",33,48,,
107,November,2015,11/20/2015,4.46,15,"1,940","2,230","28,000",47,"2,960","3,320",27,0,,
108,December,2015,12/2/2015,3.42,18,"2,140","2,570","19,000",62,"3,100","3,540",15,0,,
109,December,2015,12/2/2015,3.56,15,"1,960","2,340","21,000",56,"3,300","4,120",21,0,,
110,December,2015,12/23/2015,1.92,12,"1,640","2,150","32,000",32,"2,430","2,660",9,32,,
111,December,2015,12/24/2015,2.90,18,"1,850","2,670","33,000",36,"2,770","3,240",13,48,,
112,December,2015,12/26/2015,3.24,15,"2,370","3,240","24,000",42,"1,830","2,250",22,54,,
113,December,2015,12/26/2015,4.41,15,"2,530","3,300","41,000",47,"2,190","3,540",17,74,,
114,December,2015,12/26/2015,3.39,18,"2,720","3,690","23,000",22,"2,520","3,360",27,57,,
115,December,2015,12/26/2015,3.27,15,"2,250","3,180","37,000",63,"2,740","2,840",8,55,,
116,January,2016,1/10/2016,3.60,15,"3,240","4,160","28,000",54,"1,360","2,580",17,60,,
117,February,2016,2/2/2016,4.06,18,"3,530","4,620","24,000",62,"1,850","2,210",14,68,,
118,February,2016,2/3/2016,2.11,15,"2,340","3,870","31,000",46,"2,130","2,680",21,35,,
119,February,2016,2/5/2016,3.01,15,"2,460","3,640","27,000",38,"1,920","2,390",26,50,,
120,February,2016,2/17/2016,3.41,18,"1,340","1,680","24,000",22,"1,530","1,940",6,57,,
121,February,2016,2/19/2016,3.66,15,950,"1,120","21,000",32,"1,370","1,640",4,61,,
122,February,2016,2/25/2016,4.51,15,"2,240","3,150","36,000",46,"2,450","3,140",16,75,,
123,March ,2016,3/1/2016,2.89,18,"3,050","3,270","29,000",24,"1,740","2,250",24,48,,
124,March,2016,3/11/2016,2.89,15,"1,630","1,820","18,000",37,"2,150","2,390",23,48,,
125,March,2016,3/12/2016,2.51,15,"1,120","1,460","17,000",43,"2,270","2,490",18,42,,
126,March,2016,3/15/2016,3.58,18,"3,340","3,640","45,000",48,"3,450","3,740",46,60,,
127,March,2016,3/29/2016,3.41,15,"3,560","3,740","43,000",53,"3,320","3,570",38,57,,
128,April,2016,4/8/2016,2.79,15,"2,460","3,150","38,000",46,"3,540","3,840",24,47,,
129,April,2016,4/30/2016,4.21,18,"3,860","4,240","47,000",18,"3,200","3,470",36,70,,
130,April,2016,4/30/2016,4.88,15,"3,230","3,640","52,000",27,"3,750","3,940",42,81,,
131,April,2016,4/30/2016,4.47,15,"3,760","4,150","45,000",40,"2,840","3,270",23,75,,
132,April,2016,4/30/2016,3.29,18,"3,640","3,520","52,000",33,"2,530","2,940",34,55,,
133,May ,2016,5/7/2016,4.16,15,"4,230","4,620","53,000",34,"2,727","3,360",38,69,,
134,May,2016,5/12/2016,2.93,15,"3,590","3,840","47,000",42,"1,760","2,640",26,49,,
135,May ,2016,5/31/2016,2.37,18,"3,740","4,120","56,000",65,"1,680","2,530",32,40,,
136,June,2016,6/15/2016,2.57,15,"4,200","4,630","38,000",53,"1,480","1,760",43,43,,
137,June,2016,6/16/2016,2.39,15,"3,840","3,990","41,000",32,"1,540","2,030",38,40,,
138,June,2016,6/21/2016,3.98,15,"4,350","4,120","45,000",42,"1,630","2,140",24,66,,
139,June,2016,6/22/2016,3.47,15,"3,960","3,720","52,000",38,"1,870","2,200",35,58,,
140,June,2016,6/24/2016,3.97,18,"4,150","3,970","48,000",41,"1,530","1,700",26,66,,
141,June,2016,6/30/2016,3.12,18,"4,450","4,310","58,000",43,"2,130","2,410",29,52,,
142,July,2016,7/1/2016,3.17,15,"3,460","3,820","43,000",38,"2,240","2,670",31,53,,
143,July,2016,7/13/2016,2.12,15,"2,850","3,120","52,000",53,"1,930","2,150",28,35,,
144,July,2016,7/23/2016,2.31,18,"3,560","3,780","65,000",33,"2,460","2,520",34,39,,
145,July,2016,7/28/2016,3.16,15,"4,130","4,360","52,000",54,"2,610","2,900",26,53,,
146,July,2016,7/29/2016,4.02,15,"4,350","4,600","55,000",34,"2,430","2,780",38,67,,
147,July,2016,7/29/2016,3.26,18,"4,420","4,850","65,000",48,"2,340","2,580",25,54,,
148,July,2016,7/31/2016,3.82,15,"2,130","2,240","35,000",45,"1,830","2,140",16,64,,
149,July,2016,7/31/2016,4.88,15,"2,450","2,500","32,000",33,"1,950","2,070",24,81,,
150,August,2016,8/4/2016,5.05,18,"2,300","2,260","16,000",28,"1,360","1,650",15,84,,
151,August,2016,8/16/2016,2.79,15,"2,850","3,120","34,000",42,"2,100","2,630",31,47,,
152,August,2016,8/17/2016,3.47,15,"2,640","2,900","38,000",37,"2,340","2,760",22,58,,
153,August,2016,8/19/2016,4.01,18,"3,250","3,570","42,000",56,"2,700","3,020",28,67,,
154,August,2016,8/24/2016,3.18,15,"2,530","2,740","52,000",38,"2,810","3,150",32,53,,
155,September,2016,9/2/2016,3.13,15,"2,780","2,640","38,000",21,"2,130","2,830",15,52,,
156,September,2016,9/7/2016,2.43,18,"2,740","3,360","24,000",32,"2,210","2,490",28,41,,
157,September,2016,9/19/2016,3.08,15,"2,530","3,460","21,000",38,"2,300","2,760",33,51,,
158,October,2016,10/9/2016,2.90,15,"1,876","3,990","27,600",10,"1,240","1,980",11,48,,
159,October,2016,10/27/2016,3.00,18,"2,340","3,150","19,000",46,"2,470","2,810",37,50,,
160,November,2016,11/17/2016,2.01,15,"2,244","4,358","27,000",64,"3,400","3,700",22,34,,
161,November,2016,11/29/2016,1.98,15,"2,980","4,460","36,000",18,"1,880","1,610",11,33,,
162,November,2016,11/30/2016,2.75,18,"3,460","5,840","16,000",42,"3,260","3,430",34,46,,
163,December,2016,12/1/2016,3.41,15,"1,840","4,760","23,000",43,"3,470","3,800",6,57,,
164,December,2016,12/6/2016,2.55,15,"1,360","3,850","34,000",39,"2,340","4,220",24,43,,
165,December,2016,12/16/2016,1.74,18,"1,880","2,890","26,000",59,"2,100","4,040",20,29,,
166,December,2016,1/2/2017,2.13,15,"2,460","2,740","32,000",48,"3,250","4,430",15,36,,
167,January,2017,1/19/2017,2.43,15,"2,260","2,780","28,000",36,"2,870","3,640",22,41,,
168,February,2017,2/26/2017,2.32,18,"2,890","2,460","30,000",22,"2,610","3,250",19,39,,
169,February,2017,2/26/2017,3.72,15,"2,140","1,870","15,000",23,"2,040","2,450",12,62,,
170,March ,2017,3/30/2017,2.14,15,"2,570","2,930","23,000",28,"2,650","2,910",14,36,,
171,March ,2017,3/31/2017,2.74,18,"2,030","2,340","14,000",18,"1,960","2,150",18,46,,
172,March ,2017,3/31/2017,2.63,15,"1,940","2,170","12,000",15,"1,820","1,980",10,44,,
173,March ,2017,3/31/2017,2.09,15,"1,870","2,040","11,000",13,"1,950","2,210",6,35,,
174,April,2017,4/1/2017,2.67,18,"1,920","2,130","13,000",21,"2,230","2,590",8,45,,
175,April,2017,4/1/2017,2.67,18,"1,920","2,130","13,000",21,"2,230","2,590",8,45,,
176,April,2017,4/6/2017,3.55,15,"2,230","2,540","2,000",16,"1,480","1,670",5,59,,
177,April,2017,4/6/2017,3.89,18,980,"1,120","3,000",14,"1,500","1,730",3,65,,
178,April,2017,4/6/2017,3.59,15,650,720,"2,000",10,"1,140","1,450",5,60,,
179,April,2017,4/6/2017,3.13,15,430,560,"4,000",9,870,990,7,52,,
180,April,2017,4/6/2017,3.33,18,390,460,"2,000",8,720,850,2,56,,
181,April,2017,4/7/2017,3.11,15,490,510,"3,000",11,"1,020","1,110",7,52,,
182,April,2017,4/7/2017,3.04,15,210,340,"2,000",12,890,"1,040",3,51,,
183,April,2017,4/7/2017,3.21,18,560,670,"2,000",15,920,"1,080",4,54,,
184,April,2017,4/7/2017,4.08,15,470,560,"3,000",12,780,820,5,68,,
185,April,2017,4/7/2017,3.26,15,390,450,"2,000",8,830,990,8,54,,
186,April,2017,4/8/2017,3.36,18,460,620,"1,000",9,790,830,10,56,,
187,April,2017,4/8/2017,3.62,15,530,670,"2,000",13,"1,120","1,340",5,60,,
188,April,2017,4/8/2017,4.27,15,460,530,"1,000",12,820,"1,030",7,71,,
189,April,2017,4/8/2017,4.01,18,340,510,"2,000",10,730,910,5,67,,
190,April,2017,4/8/2017,3.88,15,360,490,"1,000",15,820,950,8,65,,
191,April,2017,4/21/2017,4.67,15,"2,540","2,330","12,000",32,"2,450","2,670",10,78,,
192,May ,2017,5/5/2017,3.53,18,"2,870","3,140","16,000",21,"3,460","3,720",11,59,,
193,May ,2017,5/5/2017,4.07,15,"2,230","2,820","14,000",19,"3,250","3,890",14,68,,
194,May ,2017,5/6/2017,3.93,15,"2,340","2,530","15,000",18,"2,890","3,100",12,66,,
195,May ,2017,5/11/2017,2.59,18,"2,560","2,430","18,000",16,"3,120","3,240",8,43,,
196,May ,2017,5/11/2017,3.81,15,"2,340","2,250","19,000",22,"2,830","3,020",5,64,,
197,May ,2017,5/22/2017,3.30,15,"2,480","2,320","14,000",21,"2,990","3,120",9,55,,
198,May ,2017,5/22/2017,3.84,18,"2,540","2,410","15,000",16,"1,980","2,230",5,64,,
